fraccion,industria,aviso_automatico
5702.50.99,Textil y Confeccion,True
5702.91.01,Textil y Confeccion,True
5702.92.01,Textil y Confeccion,True
5702.99.01,Textil y Confeccion,True
5703.10.01,Textil y Confeccion,True
5703.20.01,Textil y Confeccion,True
5703.20.99,Textil y Confeccion,True
5703.30.01,Textil y Confeccion,True
5703.30.99,Textil y Confeccion,True
5703.90.01,Textil y Confeccion,True
5704.10.01,Textil y Confeccion,True
5704.90.99,Textil y Confeccion,True
5705.00.01,Textil y Confeccion,True
5705.00.99,Textil y Confeccion,True
5801.10.01,Textil y Confeccion,True
5801.21.01,Textil y Confeccion,True
5801.22.01,Textil y Confeccion,True
5801.23.01,Textil y Confeccion,True
5801.26.01,Textil y Confeccion,True
5801.27.01,Textil y Confeccion,True
5801.31.01,Textil y Confeccion,True
5801.32.01,Textil y Confeccion,True
5801.33.01,Textil y Confeccion,True
5801.36.01,Textil y Confeccion,True
5801.37.01,Textil y Confeccion,True
5801.90.01,Textil y Confeccion,True
5802.11.01,Textil y Confeccion,True
5802.19.99,Textil y Confeccion,True
5802.20.01,Textil y Confeccion,True
5802.30.01,Textil y Confeccion,True
5803.00.01,Textil y Confeccion,True
5803.00.02,Textil y Confeccion,True
5803.00.03,Textil y Confeccion,True
